Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked_Q,Embarked_S
0,3,0,22.0,1,0,2.1102132003465894,0,1
1,1,1,38.0,1,0,4.2805931204649,0,0
1,3,1,26.0,0,0,2.188856327665703,0,1
1,1,1,35.0,1,0,3.9908341858524357,0,1
0,3,0,35.0,0,0,2.2027647577118348,0,1
0,3,0,28.0,0,0,2.246892662898172,1,0
0,1,0,54.0,0,0,3.967694202798607,0,1
0,3,0,2.0,3,1,3.0944457464900235,0,1
1,3,1,27.0,0,2,2.495953738718064,0,1
1,2,1,14.0,1,0,3.436268471383741,0,0
1,3,1,4.0,1,1,2.8735646395797834,0,1
1,1,1,58.0,0,0,3.3160025355989236,0,1
0,3,0,20.0,0,0,2.2027647577118348,0,1
0,3,0,39.0,1,5,3.4742929367327062,0,1
0,3,1,14.0,0,0,2.180891922715322,0,1
1,2,1,55.0,0,0,2.833213344056216,0,1
0,3,0,2.0,4,1,3.405355391810819,1,0
1,2,0,28.0,0,0,2.6390573296152584,0,1
0,3,1,31.0,1,0,2.9444389791664403,0,1
1,3,1,28.0,0,0,2.1071782966514356,0,0
0,2,0,35.0,0,0,3.295836866004329,0,1
1,2,0,34.0,0,0,2.6390573296152584,0,1
1,3,1,15.0,0,0,2.2004637699272855,1,0
1,1,0,28.0,0,0,3.597312260588446,0,1
0,3,1,8.0,3,1,3.0944457464900235,0,1
1,3,1,38.0,1,5,3.4777725458882283,0,1
0,3,0,28.0,0,0,2.1071782966514356,0,0
0,1,0,19.0,3,2,5.575949103146316,0,1
1,3,1,28.0,0,0,2.1837114628556327,1,0
0,3,0,28.0,0,0,2.1855792552411137,0,1
0,1,0,40.0,0,0,3.357621598945279,0,0
1,1,1,28.0,1,0,4.993969182787072,0,0
1,3,1,28.0,0,0,2.169053700369523,1,0
0,2,0,66.0,0,0,2.4423470353692043,0,1
0,1,0,28.0,1,0,4.420896324687287,0,0
0,1,0,42.0,1,0,3.970291913552122,0,1
1,3,0,28.0,0,0,2.1076888046179385,0,0
0,3,0,21.0,0,0,2.2027647577118348,0,1
0,3,1,18.0,2,0,2.9444389791664403,0,1
1,3,1,14.0,1,0,2.5048481563289,0,0
0,3,1,40.0,1,0,2.348991465808201,0,1
0,2,1,27.0,1,0,3.091042453358316,0,1
0,3,0,28.0,0,0,2.1855792552411137,0,0
1,2,1,3.0,1,2,3.7513658711253766,0,0
1,3,1,19.0,0,0,2.1837114628556327,1,0
0,3,0,28.0,0,0,2.2027647577118348,0,1
0,3,0,28.0,1,0,2.803360380906535,1,0
1,3,1,28.0,0,0,2.169053700369523,1,0
0,3,0,28.0,2,0,3.1214482048688246,0,0
0,3,1,18.0,1,0,2.9338568698359038,0,1
0,3,0,7.0,4,1,3.705920919968788,0,1
0,3,0,21.0,0,0,2.174751721484161,0,1
1,1,1,49.0,1,0,4.353230991152628,0,0
1,2,1,29.0,1,0,3.295836866004329,0,1
0,1,0,65.0,0,1,4.142804513146981,0,0
1,1,0,28.0,0,0,3.597312260588446,0,1
1,2,1,21.0,0,0,2.4423470353692043,0,1
0,3,0,28.5,0,0,2.1076888046179385,0,0
1,2,1,5.0,1,2,3.3586377672433594,0,1
0,3,0,11.0,5,2,3.8691155044168695,0,1
0,3,0,22.0,0,0,2.1076888046179385,0,0
0,1,0,45.0,1,0,4.436455632600354,0,1
0,3,0,4.0,3,2,3.3638415951183864,0,1
